UMTS,262,2,801,231697,,13.32162,52.520739,8607,87,1,1282898293,1301564848,-91
UMTS,262,2,801,87955,,13.321227,52.520918,8574,82,1,1282898293,1300263226,-91
UMTS,262,2,801,86311,,13.324544,52.520683,3806,121,1,1282898293,1300645551,-99
UMTS,262,2,801,66705,,13.322807,52.521134,4076,111,1,1282930070,1299776497,-92
UMTS,262,2,801,66706,,13.322418,52.51796,1999,17,1,1282930070,1301565209,-94
GSM,262,2,801,849,,13.312994,52.511189,2143,7,1,1282930070,1297757924,-97
UMTS,262,2,801,86375,,13.312515,52.520108,3023,38,1,1282930070,1300816025,-97
UMTS,262,2,801,67639,,13.345823,52.499887,2754,62,1,1282931091,1300471688,-100
UMTS,262,2,776,200801,,13.346733,52.497683,340,9,1,1283188550,1295705952,-95
UMTS,262,3,1107,413763,,13.349813,52.497275,1344,85,1,1283188550,1300729872,-98
UMTS,262,2,801,65877,,13.348365,52.499046,710,15,1,1283188550,1300729632,-96
UMTS,262,2,801,65873,,13.345298,52.500902,312,4,1,1283188550,1300729872,-91
UMTS,262,3,1107,284435,,13.351518,52.497233,544,32,1,1283233861,1299926266,-95
UMTS,262,2,801,163925,,13.34833,52.49965,577,12,1,1283233861,1300729872,-92
UMTS,262,3,1075,77955,,13.349891,52.497327,1348,79,1,1283273200,1299174380,-96
UMTS,262,2,776,165683,,13.350471,52.497226,621,82,1,1283273200,1301595216,-99
UMTS,262,2,801,164742,,13.349416,52.497292,482,36,1,1283273200,1299174380,-101
GSM,262,2,801,853,,13.325252,52.506297,5731,44,1,1283356949,1300632799,-99
GSM,262,2,803,8291,,13.243635,52.640425,0,1,1,1283358750,1283358750,-78
GSM,262,2,803,8290,,13.243635,52.640425,0,1,1,1283358750,1283358750,-78
UMTS,262,3,1139,84019,,13.243635,52.640425,0,1,1,1283358750,1283358750,-95
GSM,262,2,803,8289,,13.243635,52.640425,0,1,1,1283358750,1283358750,-96
GSM,262,3,1139,21651,,13.243635,52.640425,0,1,1,1283358750,1283358750,-97
UMTS,262,3,1139,84035,,13.271746,52.592352,8821,3,1,1283358750,1288361905,-100
UMTS,262,3,1139,103235,,13.243635,52.640425,0,1,1,1283358750,1283358750,-108
UMTS,262,3,1139,75843,,12.937847,52.72718,0,1,1,1283359860,1283359860,-86
GSM,262,2,769,10515,,12.937847,52.72718,0,1,1,1283359860,1283359860,-87
